Date,nysecomp,nasdaqcomp,hangsengind,shanghaicomp,euronext,nikkei,bitcoin,dogecoin,ethereum,crudeoil,ngas
2017-07-14,11897.30957,6312.470215,26389.23047,3222.4169920000004,1008.7299800000001,20118.85938,2233.340087890625,0.0016812699614092708,199.66200256347656,46.540001000000004,2.9400000000000013
2017-07-18,11877.41992,6344.310059,26524.93945,3187.566895,999.909973,19999.91016,2318.8798828125,0.0018636699533089995,234.39100646972656,46.400002,3.1100000000000003
2017-07-19,11941.33984,6385.040039,26672.16016,3230.9760739999997,1008.4500119999999,20020.85938,2273.429931640625,0.001688839984126389,199.7030029296875,47.119999,3.1100000000000003
2017-07-20,11944.49023,6390.0,26740.21094,3244.86499,1007.48999,20144.58984,2817.60009765625,0.0019345199689269066,227.26499938964844,46.790001000000004,3.1199999999999997
2017-07-21,11924.59961,6387.75,26706.08984,3237.981934,995.23999,20099.75,2667.760009765625,0.0019362800521776078,218.30499267578125,45.77,3.0600000000000014
2017-07-24,11904.70996,6410.810059,26846.83008,3250.599121,994.5599980000001,19975.66992,2754.860107421875,0.001979710068553686,224.71099853515625,46.34,2.9899999999999998
2017-07-25,11965.719729999999,6412.169922,26852.05078,3243.688965,1000.349976,19955.19922,2576.47998046875,0.0017733799759298567,206.7100067138672,47.889998999999996,2.9899999999999998
2017-07-26,11964.91016,6422.75,26941.01953,3247.675049,1007.8099980000001,20050.16016,2529.449951171875,0.0018101399764418602,203.9530029296875,48.75,2.9199999999999995
2017-07-27,11963.23047,6382.189941,27131.16992,3249.7810059999997,1011.7800289999999,20079.64063,2671.780029296875,0.0018559599993750453,204.3179931640625,49.040001000000004,2.9500000000000015
2017-07-28,11954.69043,6374.680176,26979.39063,3253.23999,1000.73999,19959.83984,2809.010009765625,0.0017818999476730824,193.1230010986328,49.709998999999996,2.96
2017-07-31,11967.66992,6348.120117,27323.99023,3273.028076,995.7800289999999,19925.17969,2875.340087890625,0.0017184000462293625,203.8710021972656,50.169998,2.8700000000000006
2017-08-01,12000.01953,6362.939941,27540.23047,3292.637939,1000.6300050000001,19985.78906,2718.260009765625,0.0017919900128617887,226.7689971923828,49.16,2.7999999999999994
2017-08-02,11979.37012,6362.649902,27607.38086,3285.056885,996.929993,20080.03906,2710.669921875,0.001788330031558871,219.95199584960938,49.59,2.7999999999999994
2017-08-03,11956.51953,6340.339844,27531.00977,3272.928955,1001.2700199999999,20029.25977,2804.72998046875,0.0017951000481843948,225.3419952392578,49.029999,2.7599999999999993
2017-08-04,11984.88965,6351.560059,27562.679689999997,3262.081055,1012.150024,19952.33008,2895.889892578125,0.0018203699728474019,223.072998046875,49.580002,2.7599999999999993
2017-08-07,11987.76953,6383.77002,27690.35938,3279.457031,1013.0200199999999,20055.89063,3378.93994140625,0.0019490199629217386,269.17999267578125,49.389998999999996,2.7999999999999994
2017-08-08,11949.969729999999,6370.459961,27854.910160000003,3281.873047,1015.3599849999999,19996.00977,3419.93994140625,0.0019610999152064323,296.7690124511719,49.169998,2.8100000000000005
2017-08-09,11929.45996,6352.330078,27757.089839999997,3275.572998,1003.400024,19738.71094,3342.469970703125,0.001936840009875596,296.0270080566406,49.560001,2.8100000000000005
2017-08-10,11771.59961,6216.870117,27444.0,3261.749023,996.8099980000001,19729.74023,3381.280029296875,0.001895810011774301,295.8919982910156,48.59,2.8899999999999997
